t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
4.015484,238,-14.885,-198.718,-75.573,-0.042806,-0.04099,0.408052
4.032285,239,-10.035,-167.788,-83.021,0.008854,-0.051802,-0.145884
4.049085,240,-11.571,-164.939,-82.363,-0.024121,-0.045625,-0.148411
4.065886,241,-17.465,-188.463,-66.483,-0.094294,-0.035255,0.322835
4.082686,242,-11.329,-164.0,-77.439,-0.009796,-0.051145,-0.086831
4.099487,243,-10.016,-162.245,-74.44,0.01681,-0.045963,-0.089827
4.116287,244,-13.157,-161.825,-67.94,-0.046913,-0.05561,-0.06782
4.133087,245,-9.32,-162.462,-68.363,0.026566,-0.041715,-0.006236
4.149888,246,-8.161,-155.445,-74.705,0.033282,-0.046435,-0.086758
4.166688,247,-8.529,-151.002,-74.047,0.02088,-0.038985,-0.14238
4.183489,248,-10.503,-148.127,-72.735,-0.031218,-0.033828,-0.147711
4.200289,249,-9.395,-145.902,-72.633,-0.014516,-0.025642,-0.151058
4.21709,250,-6.37,-154.017,-57.056,0.073604,-0.022132,-0.001843
4.23389,251,-9.236,-141.927,-75.256,-0.014315,-0.044403,-0.142202
4.250691,252,-7.378,-141.226,-67.772,0.012748,-0.031151,-0.137719
4.267491,253,-7.854,-137.348,-74.862,-0.008843,-0.041523,-0.151477
4.284292,254,-10.732,-157.121,-60.19,-0.025048,-0.030244,0.253603
4.301092,255,-9.5,-156.148,-54.274,-0.012346,-0.017336,0.264631
4.317892,256,-7.666,-133.429,-63.696,-0.013732,-0.027158,-0.139348
4.334693,257,-5.492,-133.978,-58.875,0.032185,-0.026737,-0.107816
4.351493,258,-8.076,-126.11,-71.182,-0.050733,-0.032871,-0.180336
4.368294,259,-4.961,-125.612,-66.934,0.013745,-0.026005,-0.168662
4.385094,260,-5.992,-125.496,-60.649,-0.00427,-0.025236,-0.151083
4.401895,261,2.126,-141.358,-48.96,0.18297,-0.029504,0.174759
4.418695,262,-4.662,-122.655,-60.124,0.001892,-0.020893,-0.127762
4.435495,263,-3.908,-118.976,-62.781,0.012682,-0.017669,-0.153612
